140004,U40998@DOM1,C4653,C706
140010,U40447@DOM1,C16130,C231
140010,U40448@DOM1,C16130,C231
140014,U41149@DOM1,C709,C467
140060,U40150@DOM1,C13457,C706
140082,U40774@DOM1,C248,C359
140106,U40338@DOM1,C1515,C612
140304,U40525@DOM1,C17246,C706
140352,U40022@DOM1,C10951,C231
140371,U40674@DOM1,C20165,C1685
140384,U40468@DOM1,C16578,C706
140425,U40550@DOM1,C17500,C457
140448,U40176@DOM1,C13754,C612
140448,U40177@DOM1,C13754,C586
140529,U40859@DOM1,C2908,C231
140565,U40743@DOM1,C2387,C2387
140603,U41036@DOM1,C5353,C1685
140603,U41037@DOM1,C5353,C231
140621,U40469@DOM1,C16653,C359
140662,U40935@DOM1,C3801,C529
140669,U40931@DOM1,C3715,C706
140693,U41036@DOM1,C5353,C231
140693,U41037@DOM1,C5353,C1685
140728,U41119@DOM1,C6442,C1685
140728,U41120@DOM1,C6442,C22651
140733,U40537@DOM1,C17345,C359
140817,U41071@DOM1,C5811,C706
140817,U41071@DOM1,C5811,C5030
140817,U41072@DOM1,C5811,C5030
140841,U41232@DOM1,C9705,C5720
140865,U40299@DOM1,C14818,C706
140865,U40299@DOM1,C14818,C1685
140873,U40057@DOM1,C11827,C467
140873,U40057@DOM1,C11827,C586
140873,U40057@DOM1,C11827,C231
140873,U40058@DOM1,C11827,C467
140873,U40058@DOM1,C11827,C706
140906,U40342@DOM1,C15180,C1685
140913,U40978@DOM1,C4508,C231
140913,U40978@DOM1,C4508,C5030
140930,U40601@DOM1,C1800,C1685
140930,U40602@DOM1,C1800,C706
140939,U40893@DOM1,C3405,C1685
141001,U41208@DOM1,C90,C1685
141028,U40971@DOM1,C436,C706
141038,U40709@DOM1,C22786,C22786
141072,U40010@DOM1,C10611,C1685
141072,U40011@DOM1,C10611,C1685
141126,U40136@DOM1,C13290,C706
141128,U40826@DOM1,C2683,C231
141201,U40266@DOM1,C14551,C5782
141201,U40267@DOM1,C14551,C5782
141232,U40518@DOM1,C17178,C359
141274,U40100@DOM1,C12654,C5030
141275,U41197@DOM1,C881,C1065
141276,U41054@DOM1,C5638,C586
141276,U41054@DOM1,C5638,C1685
141399,U41096@DOM1,C5939,C706
141412,U40669@DOM1,C19897,C467
141412,U40670@DOM1,C19897,C467
141573,U40842@DOM1,C2769,C4025
141602,U40667@DOM1,C1954,C231
141614,U40356@DOM1,C15268,C457
141617,U40655@DOM1,C1905,C706
141617,U40656@DOM1,C1905,C231
141628,U40303@DOM1,C14864,C5030
141661,U40541@DOM1,C17407,C706
141673,U40809@DOM1,C2604,C467
141703,U40207@DOM1,C14186,C612
141723,U41171@DOM1,C7991,C1707
141723,U41172@DOM1,C7991,C1707
141723,U41225@DOM1,C9578,C1685
141774,U40080@DOM1,C12257,C1707
141841,U40994@DOM1,C4618,C467
141845,U40554@DOM1,C17552,C467
141900,U40973@DOM1,C4367,C1685
141900,U40973@DOM1,C4367,C231
141909,U40691@DOM1,C21792,C8972
141909,U40692@DOM1,C21792,C8972
141924,U40374@DOM1,C15403,C231
141961,U41014@DOM1,C502,C706
142013,U40868@DOM1,C3049,C706
142040,U40745@DOM1,C23931,C23931
142059,U40537@DOM1,C17345,C1707
142059,U40537@DOM1,C17345,C1685
142103,U40529@DOM1,C17277,C586
142103,U40529@DOM1,C17277,C457
142125,U41170@DOM1,C7955,C706
142155,U41034@DOM1,C5337,C1065
142218,U40152@DOM1,C13492,C1707
142218,U40152@DOM1,C13492,C706
142228,U40393@DOM1,C15626,C1707
142228,U40394@DOM1,C15626,C5030
142237,U41225@DOM1,C9578,C359
142242,U41160@DOM1,C7426,C2038
142272,U40238@DOM1,C1435,C1685
142279,U40364@DOM1,C15355,C1707
142287,U40980@DOM1,C4517,C231
142287,U40981@DOM1,C4517,C231
142292,U41216@DOM1,C9201,C1685
142352,U40813@DOM1,C2626,C625
142391,U40551@DOM1,C17536,C2174
142502,U40130@DOM1,C13218,C5900
142502,U40130@DOM1,C13218,C359
142535,U40219@DOM1,C1423,C231
142590,U40775@DOM1,C2480,C10561
142607,U40132@DOM1,C13243,C1883
142713,U40649@DOM1,C18345,C1707
142742,U40720@DOM1,C2321,C5030
142783,U40761@DOM1,C24595,C1707
142815,U40318@DOM1,C14938,C706
142815,U40319@DOM1,C14938,C5030
142830,U40538@DOM1,C17365,C1685
142830,U40538@DOM1,C17365,C17365
142843,U41232@DOM1,C9705,C1707
142843,U41233@DOM1,C9705,C1707
142843,U41233@DOM1,C9705,C5720
142888,U40634@DOM1,C18184,C706
142978,U40172@DOM1,C13675,C706
142995,U40174@DOM1,C13717,C706
142995,U40174@DOM1,C13717,C2174
143005,U620@DOM1,C17155,C1707
143005,U40515@DOM1,C17155,C1707
143029,U40134@DOM1,C13287,C706
143029,U40135@DOM1,C13287,C1707
143054,U40028@DOM1,C1102,C2109
143069,U40854@DOM1,C2850,C359
143072,U40760@DOM1,C2459,C5030
143139,U41226@DOM1,C9578,C586
143166,U40812@DOM1,C2626,C612
143180,U40776@DOM1,C24806,C1707
143186,U40141@DOM1,C13316,C706
143189,U40383@DOM1,C15526,C1707
143235,U40123@DOM1,C13018,C1707
143316,U40112@DOM1,C12745,C612
143316,U40112@DOM1,C12745,C586
143383,U40381@DOM1,C15450,C231
143406,U40839@DOM1,C2758,C706
143406,U40936@DOM1,C3863,C612
143406,U40937@DOM1,C3863,C612
143412,U40071@DOM1,C12106,C1707
143414,U40052@DOM1,C1167,C1953
143414,U40053@DOM1,C1167,C1953
143417,U40215@DOM1,C14216,C612
143418,U41138@DOM1,C6937,C585
143418,U41139@DOM1,C6937,C585
143454,U40708@DOM1,C2278,C1685
143529,U40509@DOM1,C17082,C5030
143530,U40534@DOM1,C17322,C231
143530,U40535@DOM1,C17322,C231
143550,U40220@DOM1,C1423,C467
143631,U40215@DOM1,C14216,C1707
143631,U40215@DOM1,C14216,C529
143634,U40216@DOM1,C14225,C1707
143676,U40645@DOM1,C18304,C1685
143714,U40950@DOM1,C4112,C231
143714,U40951@DOM1,C4112,C231
143714,U40977@DOM1,C4412,C1707
143719,U636@DOM1,C10713,C5030
143719,U636@DOM1,C10713,C231
143719,U636@DOM1,C10713,C3812
143768,U40285@DOM1,C14700,C5030
143960,U40926@DOM1,C3664,C5030
143960,U40926@DOM1,C3664,C231
143995,U40451@DOM1,C16204,C5030
144026,U40175@DOM1,C13726,C467
144065,U40769@DOM1,C24710,C1685
144065,U40770@DOM1,C24710,C1707
