140004,C4653,C706
140010,C16130,C231
140014,C709,C1707
140026,C14866,C706
140060,C13457,C706
140082,C248,C359
140088,C9063,C359
140100,C4651,C5030
140106,C1515,C612
140119,C515,C612
140168,C12745,C529
140181,C409,C706
140247,C5279,C706
140289,C4165,C5030
140292,C4081,C1707
140304,C17246,C1707
140344,C17076,C754
140352,C10951,C706
140352,C194,C1707
140356,C12318,C1685
140365,C3451,C754
140371,C20165,C1685
140384,C16578,C706
140419,C20312,C1685
140425,C17500,C1685
140425,C13583,C706
140448,C13754,C586
140461,C24710,C1707
140461,C24710,C1685
140487,C1108,C1685
140529,C2908,C5030
140531,C13583,C1707
140537,C2480,C10561
140565,C2387,C467
140603,C5353,C1685
140621,C16653,C359
140625,C122,C5030
140634,C15753,C529
140662,C3801,C529
140669,C15129,C1707
140669,C3715,C5030
140693,C5353,C231
140695,C2459,C706
140709,C17660,C5782
140728,C6442,C1685
140733,C17345,C359
140746,C13431,C5030
140750,C2769,C4025
140817,C5811,C5030
140841,C9705,C5030
140848,C6897,C5030
140865,C14818,C706
140873,C11827,C706
140888,C3380,C22841
140899,C14483,C231
140906,C15180,C1685
140913,C4508,C1685
140930,C1800,C1685
140939,C3405,C1685
140961,C9219,C1685
141001,C90,C1685
141028,C436,C1685
141031,C5111,C1685
141038,C22786,C1707
141057,C2749,C231
141072,C10611,C1685
141076,C768,C1685
141092,C1645,C1707
141097,C831,C1707
141105,C1905,C1685
141126,C13290,C5030
141128,C2683,C5030
141132,C3380,C22841
141154,C1936,C2079
141167,C354,C1707
141201,C14551,C5782
141208,C6367,C1707
141216,C14244,C1797
141232,C17178,C706
141240,C12347,C467
141257,C2492,C457
141270,C12654,C529
141274,C12654,C612
141275,C881,C1707
141276,C5638,C706
141310,C17536,C612
141310,C17536,C528
141311,C1748,C706
141319,C14557,C5030
141341,C11885,C5030
141356,C4367,C706
141376,C3380,C22841
141380,C14053,C706
141399,C5939,C612
141405,C1928,C706
141412,C19897,C467
141458,C7904,C467
141465,C3380,C22841
141470,C3484,C5030
141480,C14692,C2174
141496,C631,C1685
141498,C3380,C22841
141539,C5154,C5136
141573,C2769,C1533
141602,C1954,C706
141605,C194,C529
141614,C15268,C359
141617,C1905,C706
141624,C6346,C528
141628,C14864,C706
141639,C1191,C102
141645,C15218,C231
141651,C3380,C22841
141661,C17407,C5030
141671,C17536,C22529
141673,C2604,C231
141699,C5763,C15513
141703,C14186,C1685
141715,C3165,C529
141721,C15498,C612
141723,C9578,C706
141723,C7991,C1707
141725,C18184,C16112
141731,C2517,C3761
141747,C17465,C5030
141774,C12257,C706
141780,C14488,C529
141780,C14488,C1065
141832,C17552,C457
141841,C4618,C1707
141845,C17552,C231
141880,C6346,C359
141895,C17552,C625
141900,C4367,C1685
141903,C15615,C1685
141909,C21792,C8972
141924,C15403,C706
141925,C3198,C467
141948,C814,C528
141961,C502,C706
141977,C2492,C457
141978,C12147,C1707
141980,C17552,C467
141994,C2475,C706
141997,C15129,C5030
142001,C25059,C1685
142013,C3049,C2685
142018,C5909,C1685
142032,C1823,C779
142037,C2492,C457
142040,C23931,C23931
142050,C13667,C706
142059,C17345,C1707
142069,C4693,C5030
142081,C1823,C1153
142090,C1823,C3740
142103,C17277,C586
142125,C7955,C706
142126,C17277,C457
142151,C4513,C706
142155,C5337,C586
142155,C5337,C1065
142192,C14053,C1707
142207,C2492,C457
142218,C13492,C706
142220,C16969,C528
142224,C16969,C528
142225,C1823,C3739
142228,C15626,C2651
142237,C9578,C1685
142240,C8958,C1685
142242,C7426,C2038
142272,C1435,C706
142279,C15355,C1707
142287,C4517,C706
142292,C9201,C1707
142320,C14917,C1707
142352,C2626,C706
142367,C1936,C2079
142386,C3380,C25294
142391,C17536,C231
142397,C3021,C231
142410,C3496,C706
142421,C4015,C5030
